source_key,source_name,source_group,source_type,region_focus,coverage_focus,discovery_use,url,query_template,priority,notes
official_brand_newsroom,Brand newsrooms / press rooms,official,official,global,"A-side apparel, footwear, bags, accessories brands","Highest-confidence confirmation of A/B, dates, channels, product scope and image credits.",https://www.nike.com/newsroom/,"site:{brand_domain} (collaboration OR capsule OR ""x"") (""January"" OR ""February"" OR ""March"") ""2026""",P0,Use brand-owned article/product pages first; add one official source for every high-confidence main row when possible.
official_retail_product_pages,Retailer product / collection landing pages,official,official,global,"release date, current availability, prices, sales channels",Confirms Q1 purchase availability when media only reports announcement.,https://www.pacsun.com/,"site:{retailer_domain} (""collaboration"" OR ""capsule"" OR ""limited-edition"") ""2026""",P0,"Often short-lived; archive page title, URL, date checked and image credit immediately."
businesswire_fashion,Business Wire,press_wires,press_release,US / global,"brand press releases, launch dates, multimedia links",Search press releases for exact launch wording and multimedia image pages.,https://www.businesswire.com/,"site:businesswire.com/news/home/2026 (""capsule collection"" OR collaboration) (fashion OR apparel OR footwear OR eyewear)",P0,"Strong for mass retail, licensing and public-company brands."
prnewswire_fashion,PRNewswire,press_wires,press_release,US / global,"retail partnerships, sports/fanwear, licensing, celebrity capsules",Use for candidate harvesting because launch date and channels are usually explicit.,https://www.prnewswire.com/news-releases/,"site:prnewswire.com/news-releases (""capsule collection"" OR collaboration) (""available"" OR launches) ""2026""",P0,Good A/B expansion source; normalize publisher to originating brand when possible.
prtimes_jp,PR TIMES Japan,press_wires,press_release,Japan,"Japanese brand collaborations, anime/IP, retailer capsules","Run Japanese terms コラボ, 別注, 発売 across Q1 date windows.",https://prtimes.jp/,site:prtimes.jp (コラボ OR 別注 OR カプセルコレクション) (発売 OR 販売開始) 2026,P0,Key gap for Japanese apparel and accessories; pair with Fashionsnap/WWD Japan.
fashionunited,FashionUnited,industry_media,industry_media,global,fashion collaborations with release and retail context,Trade-media validation after candidate discovery.,https://fashionunited.com/news/fashion/,"site:fashionunited.com/news/fashion collaboration capsule ""2026""",P1,Useful for Europe/US high-street and designer collaborations.
fashionnetwork,FashionNetwork,industry_media,industry_media,global,"fashion launches, retail capsules, luxury and mass market",Second trade source for triangulating announcement vs availability.,https://us.fashionnetwork.com/,"site:fashionnetwork.com/news (""collaboration"" OR ""capsule"") ""2026""",P1,Often syndicates launch context across regions.
wwd,WWD,industry_media,industry_media,global,"designer, luxury, retail and licensing launches",Use for luxury/fashion gaps; may require paywall-friendly snippets.,https://wwd.com/,"site:wwd.com ""collaboration"" ""capsule"" ""2026"" fashion",P1,"High authority, but access can be partial."
drapers,Drapers,industry_media,industry_media,UK / Europe,UK fashion retail collaborations,Use for UK brand and retailer A-side expansion.,https://www.drapersonline.com/,site:drapersonline.com collaboration capsule fashion 2026,P1,Potential paywall; still useful for lead generation.
theindustry_fashion,TheIndustry.fashion,industry_media,industry_media,UK,"UK high-street, department store and designer collaborations","Good for UK retail drops like John Lewis, M&S, Gap UK.",https://www.theindustry.fashion/,"site:theindustry.fashion collaboration capsule ""2026""",P1,"Use alongside ASOS plc, John Lewis and retailer press rooms."
