gap_id,collab_id,series_name,primary_brand,partner_names,current_official_site_status,current_official_skp_status,risk_level,risk_reason,expected_official_domains,sales_channel_domains,current_source_hosts,generated_queries,checked_urls,checked_http_statuses,best_candidate_url,best_candidate_status,best_candidate_evidence,next_action,last_checked
GAP-003,Q12026-018,Fast & Furious x PUMA Basketball Collection,PUMA,Fast & Furious / Universal Pictures,media_only,press_listed_only,high,current sources are media-only; current SKP is press-listed only; sales channel names official domains; known A-side brand domain exists,puma.com | us.puma.com,puma.com,licensingmagazine.com,Fast & Furious | Universal Pictures | Fast & Furious x PUMA Basketball | PUMA Fast & Furious,https://us.puma.com/us/en,https://us.puma.com/us/en [200],https://us.puma.com/us/en,official_page_has_product_signals,partner token: fast/furious; brand token: puma; series token: fast/furious/puma/basketball; product/commerce signal,Promote candidate URL into source/SKP extraction path; parse product cards before media pages.,2026-05-31
GAP-004,Q12026-024,J.Crew Rollneck Remix,J.Crew,Buci NYC; Collina Strada; Eckhaus Latta; Patrick Taylor; Tanner Fletcher,media_only,press_listed_only,high,current sources are media-only; current SKP is press-listed only; sales channel names official domains; known A-side brand domain exists,jcrew.com,jcrew.com,insidehook.com | townandcountrymag.com,Buci NYC | Collina Strada | Eckhaus Latta | Patrick Taylor,https://jcrew.com/collections/j-crew-for-buci-nyc | https://jcrew.com/collections/j-crew-x-buci-nyc | https://jcrew.com/collections/j-crew-buci-nyc | https://jcrew.com/collections/j-crew-rollneck-remix | https://jcrew.com/collections/buci-nyc | https://www.jcrew.com/collections/j-crew-for-buci-nyc | https://www.jcrew.com/collections/j-crew-x-buci-nyc | https://www.jcrew.com/collections/j-crew-buci-nyc | https://www.jcrew.com/collections/j-crew-rollneck-remix | https://www.jcrew.com/collections/buci-nyc | https://www.jcrew.com/search/womens?Ntrm=Buci%20NYC,https://jcrew.com/collections/j-crew-for-buci-nyc [AbortError] | https://jcrew.com/collections/j-crew-x-buci-nyc [AbortError] | https://jcrew.com/collections/j-crew-buci-nyc [AbortError] | https://jcrew.com/collections/j-crew-rollneck-remix [AbortError] | https://jcrew.com/collections/buci-nyc [AbortError] | https://www.jcrew.com/collections/j-crew-for-buci-nyc [AbortError] | https://www.jcrew.com/collections/j-crew-x-buci-nyc [AbortError] | https://www.jcrew.com/collections/j-crew-buci-nyc [AbortError] | https://www.jcrew.com/collections/j-crew-rollneck-remix [AbortError] | https://www.jcrew.com/collections/buci-nyc [AbortError] | https://www.jcrew.com/search/womens?Ntrm=Buci%20NYC [200],https://www.jcrew.com/search/womens?Ntrm=Buci%20NYC,official_page_has_product_signals,partner token: buci/collina/strada/eckhaus; brand token: crew; series token: crew/rollneck/remix; product/commerce signal,Promote candidate URL into source/SKP extraction path; parse product cards before media pages.,2026-05-31
GAP-005,Q12026-026,Harlem's Fashion Row x Gap,Gap,Harlem's Fashion Row,media_only,press_listed_only,high,current sources are media-only; current SKP is press-listed only; sales channel names official domains; known A-side brand domain exists,gap.com,gap.com,sneakershouts.com | wmagazine.com,Harlem's Fashion Row | Harlem's Fashion Row x Gap | Gap Harlem's Fashion Row,https://www.gap.com/collections/gap-for-harlem-s-fashion-row | https://www.gap.com/collections/gap-x-harlem-s-fashion-row | https://www.gap.com/collections/gap-harlem-s-fashion-row | https://www.gap.com/collections/harlem-s-fashion-row-x-gap | https://www.gap.com/collections/harlem-s-fashion-row | https://www.gap.com/collections/gap-for-harlem-s-fashion-row | https://www.gap.com/collections/gap-x-harlem-s-fashion-row | https://www.gap.com/collections/gap-harlem-s-fashion-row | https://www.gap.com/collections/harlem-s-fashion-row-x-gap | https://www.gap.com/collections/harlem-s-fashion-row | https://www.gap.com/browse/search.do?searchText=Harlem%27s%20Fashion%20Row,https://www.gap.com/collections/gap-for-harlem-s-fashion-row [404] | https://www.gap.com/collections/gap-x-harlem-s-fashion-row [404] | https://www.gap.com/collections/gap-harlem-s-fashion-row [404] | https://www.gap.com/collections/harlem-s-fashion-row-x-gap [404] | https://www.gap.com/collections/harlem-s-fashion-row [404] | https://www.gap.com/collections/gap-for-harlem-s-fashion-row [404] | https://www.gap.com/collections/gap-x-harlem-s-fashion-row [404] | https://www.gap.com/collections/gap-harlem-s-fashion-row [404] | https://www.gap.com/collections/harlem-s-fashion-row-x-gap [404] | https://www.gap.com/collections/harlem-s-fashion-row [404] | https://www.gap.com/browse/search.do?searchText=Harlem%27s%20Fashion%20Row [200],https://www.gap.com/browse/search.do?searchText=Harlem%27s%20Fashion%20Row,official_page_has_product_signals,partner token: harlem/fashion; series token: harlem/fashion; product/commerce signal,Promote candidate URL into source/SKP extraction path; parse product cards before media pages.,2026-05-31
GAP-008,Q12026-035,Cupshe x Jessie James Decker Casa del Sol,Cupshe,Jessie James Decker; Eric Decker,media_only,unresolved,high,current sources are media-only; sales channel names official domains,,cupshe.com,streetinsider.com,Jessie James Decker | Eric Decker | Cupshe x Jessie James Decker Casa del Sol | Cupshe Jessie James Decker,https://cupshe.com/collections/cupshe-for-jessie-james-decker | https://cupshe.com/collections/cupshe-x-jessie-james-decker | https://cupshe.com/collections/cupshe-jessie-james-decker | https://cupshe.com/collections/cupshe-x-jessie-james-decker-casa-del-sol | https://cupshe.com/collections/jessie-james-decker | https://www.cupshe.com/collections/cupshe-for-jessie-james-decker | https://www.cupshe.com/collections/cupshe-x-jessie-james-decker | https://www.cupshe.com/collections/cupshe-jessie-james-decker | https://www.cupshe.com/collections/cupshe-x-jessie-james-decker-casa-del-sol | https://www.cupshe.com/collections/jessie-james-decker | https://cupshe.com/search?q=Jessie%20James%20Decker | https://www.cupshe.com/search?q=Jessie%20James%20Decker,https://cupshe.com/collections/cupshe-for-jessie-james-decker [403] | https://cupshe.com/collections/cupshe-x-jessie-james-decker [403] | https://cupshe.com/collections/cupshe-jessie-james-decker [403] | https://cupshe.com/collections/cupshe-x-jessie-james-decker-casa-del-sol [403] | https://cupshe.com/collections/jessie-james-decker [403] | https://www.cupshe.com/collections/cupshe-for-jessie-james-decker [200] | https://www.cupshe.com/collections/cupshe-x-jessie-james-decker [200] | https://www.cupshe.com/collections/cupshe-jessie-james-decker [200] | https://www.cupshe.com/collections/cupshe-x-jessie-james-decker-casa-del-sol [200] | https://www.cupshe.com/collections/jessie-james-decker [200] | https://cupshe.com/search?q=Jessie%20James%20Decker [403] | https://www.cupshe.com/search?q=Jessie%20James%20Decker [200],https://www.cupshe.com/search?q=Jessie%20James%20Decker,official_page_has_product_signals,partner token: jessie/james/decker/eric; brand token: cupshe; series token: cupshe/jessie/james/decker; product/commerce signal,Promote candidate URL into source/SKP extraction path; parse product cards before media pages.,2026-05-31
GAP-014,Q12026-052,Tory Burch x The Explorers Club Women in Exploration,Tory Burch,The Explorers Club; Emily Damastra,media_only,press_listed_only,high,current sources are media-only; current SKP is press-listed only; sales channel names official domains; known A-side brand domain exists,toryburch.com,toryburch.com,elle.com,The Explorers Club | Emily Damastra | Tory Burch x The Explorers Club Women in Exploration | Tory Burch The Explorers Club,https://www.toryburch.com/en-us/collections/tory-burch-for-the-explorers-club/ | https://www.toryburch.com/en-us/collections/tory-burch-x-the-explorers-club/ | https://www.toryburch.com/en-us/collections/tory-burch-the-explorers-club/ | https://www.toryburch.com/en-us/collections/tory-burch-x-the-explorers-club-women-in-exploration/ | https://www.toryburch.com/en-us/collections/the-explorers-club/ | https://www.toryburch.com/en-us/collections/tory-burch-for-the-explorers-club/ | https://www.toryburch.com/en-us/collections/tory-burch-x-the-explorers-club/ | https://www.toryburch.com/en-us/collections/tory-burch-the-explorers-club/ | https://www.toryburch.com/en-us/collections/tory-burch-x-the-explorers-club-women-in-exploration/ | https://www.toryburch.com/en-us/collections/the-explorers-club/ | https://www.toryburch.com/en-us/search/?q=The%20Explorers%20Club,https://www.toryburch.com/en-us/collections/tory-burch-for-the-explorers-club/ [404] | https://www.toryburch.com/en-us/collections/tory-burch-x-the-explorers-club/ [404] | https://www.toryburch.com/en-us/collections/tory-burch-the-explorers-club/ [404] | https://www.toryburch.com/en-us/collections/tory-burch-x-the-explorers-club-women-in-exploration/ [404] | https://www.toryburch.com/en-us/collections/the-explorers-club/ [404] | https://www.toryburch.com/en-us/collections/tory-burch-for-the-explorers-club/ [404] | https://www.toryburch.com/en-us/collections/tory-burch-x-the-explorers-club/ [404] | https://www.toryburch.com/en-us/collections/tory-burch-the-explorers-club/ [404] | https://www.toryburch.com/en-us/collections/tory-burch-x-the-explorers-club-women-in-exploration/ [404] | https://www.toryburch.com/en-us/collections/the-explorers-club/ [404] | https://www.toryburch.com/en-us/search/?q=The%20Explorers%20Club [200],https://www.toryburch.com/en-us/search/?q=The%20Explorers%20Club,official_page_has_product_signals,brand token: tory/burch; series token: tory/burch/women; product/commerce signal,Promote candidate URL into source/SKP extraction path; parse product cards before media pages.,2026-05-31
GAP-018,Q12026-062,Disney | BLACKPINK Collection by Complex,Complex,BLACKPINK; Disney,media_only,unresolved,high,current sources are media-only; sales channel names official domains; known A-side brand domain exists,complex.com,complex.com,ibtimes.com.au,BLACKPINK | Disney | BLACKPINK by Complex,https://www.complex.com/collections/complex-for-blackpink | https://www.complex.com/collections/complex-x-blackpink | https://www.complex.com/collections/complex-blackpink | https://www.complex.com/collections/disney-blackpink-by-complex | https://www.complex.com/collections/blackpink | https://www.complex.com/collections/complex-for-blackpink | https://www.complex.com/collections/complex-x-blackpink | https://www.complex.com/collections/complex-blackpink | https://www.complex.com/collections/disney-blackpink-by-complex | https://www.complex.com/collections/blackpink | https://www.complex.com/search?q=BLACKPINK,https://www.complex.com/collections/complex-for-blackpink [404] | https://www.complex.com/collections/complex-x-blackpink [404] | https://www.complex.com/collections/complex-blackpink [404] | https://www.complex.com/collections/disney-blackpink-by-complex [404] | https://www.complex.com/collections/blackpink [404] | https://www.complex.com/collections/complex-for-blackpink [404] | https://www.complex.com/collections/complex-x-blackpink [404] | https://www.complex.com/collections/complex-blackpink [404] | https://www.complex.com/collections/disney-blackpink-by-complex [404] | https://www.complex.com/collections/blackpink [404] | https://www.complex.com/search?q=BLACKPINK [200],https://www.complex.com/search?q=BLACKPINK,official_page_has_product_signals,partner token: blackpink/disney; brand token: complex; series token: disney/blackpink/complex; product/commerce signal,Promote candidate URL into source/SKP extraction path; parse product cards before media pages.,2026-05-31
GAP-019,Q12026-069,Target x Roller Rabbit Spring Getaway Collection,Target,Roller Rabbit,media_only,unresolved,high,current sources are media-only; sales channel names official domains; known A-side brand domain exists,target.com,target.com,prnewswire.com,Roller Rabbit | Target x Roller Rabbit Getaway | Target Roller Rabbit,https://www.target.com/collections/target-for-roller-rabbit | https://www.target.com/collections/target-x-roller-rabbit | https://www.target.com/collections/target-roller-rabbit | https://www.target.com/collections/target-x-roller-rabbit-getaway | https://www.target.com/collections/roller-rabbit | https://www.target.com/collections/target-for-roller-rabbit | https://www.target.com/collections/target-x-roller-rabbit | https://www.target.com/collections/target-roller-rabbit | https://www.target.com/collections/target-x-roller-rabbit-getaway | https://www.target.com/collections/roller-rabbit | https://www.target.com/s?searchTerm=Roller%20Rabbit,https://www.target.com/collections/target-for-roller-rabbit [404] | https://www.target.com/collections/target-x-roller-rabbit [404] | https://www.target.com/collections/target-roller-rabbit [404] | https://www.target.com/collections/target-x-roller-rabbit-getaway [404] | https://www.target.com/collections/roller-rabbit [404] | https://www.target.com/collections/target-for-roller-rabbit [404] | https://www.target.com/collections/target-x-roller-rabbit [404] | https://www.target.com/collections/target-roller-rabbit [404] | https://www.target.com/collections/target-x-roller-rabbit-getaway [404] | https://www.target.com/collections/roller-rabbit [404] | https://www.target.com/s?searchTerm=Roller%20Rabbit [200],https://www.target.com/s?searchTerm=Roller%20Rabbit,official_page_has_product_signals,partner token: roller/rabbit; brand token: target; series token: target/roller/rabbit; product/commerce signal,Promote candidate URL into source/SKP extraction path; parse product cards before media pages.,2026-05-31
GAP-001,Q12026-015,Pandora x Bridgerton Collection,Pandora,Bridgerton / Netflix,media_only,unresolved,high,current sources are media-only; sales channel names official domains; known A-side brand domain exists,pandora.net,pandora.net,marieclaire.co.uk,Bridgerton | Netflix | Pandora x Bridgerton | Pandora Bridgerton,https://us.pandora.net/en | https://us.pandora.net/en | https://us.pandora.net/en | https://us.pandora.net/en | https://us.pandora.net/en | https://us.pandora.net/en | https://us.pandora.net/en | https://us.pandora.net/en | https://us.pandora.net/en/search?q=Bridgerton | https://us.pandora.net/en/search?q=Netflix | https://us.pandora.net/en/search?q=Pandora%20x%20Bridgerton,https://us.pandora.net/en [403] | https://us.pandora.net/en [403] | https://us.pandora.net/en [403] | https://us.pandora.net/en [403] | https://us.pandora.net/en [403] | https://us.pandora.net/en [403] | https://us.pandora.net/en [403] | https://us.pandora.net/en [403] | https://us.pandora.net/en/search?q=Bridgerton [403] | https://us.pandora.net/en/search?q=Netflix [403] | https://us.pandora.net/en/search?q=Pandora%20x%20Bridgerton [403],https://us.pandora.net/en,not_found,,Manual browser check or regional official URL needed; automated fetch blocked or unstable.,2026-05-31
GAP-006,Q12026-028,Frame x Amelia Gray Collaboration Restock and Expansion,Frame,Amelia Gray,media_only,press_listed_only,high,current sources are media-only; current SKP is press-listed only; sales channel names official domains,,frame-store.com,elle.com,Amelia Gray | Frame x Amelia Gray Restock and Expansion | Frame Amelia Gray,https://frame-store.com/collections/frame-for-amelia-gray | https://frame-store.com/collections/frame-x-amelia-gray | https://frame-store.com/collections/frame-amelia-gray | https://frame-store.com/collections/frame-x-amelia-gray-restock-and-expansion | https://frame-store.com/collections/amelia-gray | https://www.frame-store.com/collections/frame-for-amelia-gray | https://www.frame-store.com/collections/frame-x-amelia-gray | https://www.frame-store.com/collections/frame-amelia-gray | https://www.frame-store.com/collections/frame-x-amelia-gray-restock-and-expansion | https://www.frame-store.com/collections/amelia-gray | https://frame-store.com/search?q=Amelia%20Gray | https://www.frame-store.com/search?q=Amelia%20Gray,https://frame-store.com/collections/frame-for-amelia-gray [403] | https://frame-store.com/collections/frame-x-amelia-gray [403] | https://frame-store.com/collections/frame-amelia-gray [403] | https://frame-store.com/collections/frame-x-amelia-gray-restock-and-expansion [403] | https://frame-store.com/collections/amelia-gray [403] | https://www.frame-store.com/collections/frame-for-amelia-gray [403] | https://www.frame-store.com/collections/frame-x-amelia-gray [403] | https://www.frame-store.com/collections/frame-amelia-gray [403] | https://www.frame-store.com/collections/frame-x-amelia-gray-restock-and-expansion [403] | https://www.frame-store.com/collections/amelia-gray [403] | https://frame-store.com/search?q=Amelia%20Gray [403] | https://www.frame-store.com/search?q=Amelia%20Gray [403],https://frame-store.com/collections/frame-for-amelia-gray,not_found,,Manual browser check or regional official URL needed; automated fetch blocked or unstable.,2026-05-31
GAP-007,Q12026-029,Ray-Ban by A$AP Rocky Metal Eyewear Collection,Ray-Ban,A$AP Rocky,media_only,press_listed_only,high,current sources are media-only; current SKP is press-listed only; sales channel names official domains; known A-side brand domain exists,ray-ban.com,ray-ban.com,elle.com,A AP Rocky | Ray-Ban by A AP Rocky Metal Eyewear | Ray-Ban A AP Rocky,https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp | https://www.ray-ban.com/usa/search?q=A%20AP%20Rocky | https://www.ray-ban.com/usa/search?q=Ray-Ban%20by%20A%20AP%20Rocky%20Metal%20Eyewear,https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/webapp/wcs/stores/error404.jsp [403] | https://www.ray-ban.com/usa/search?q=A%20AP%20Rocky [403] | https://www.ray-ban.com/usa/search?q=Ray-Ban%20by%20A%20AP%20Rocky%20Metal%20Eyewear [403],https://www.ray-ban.com/webapp/wcs/stores/error404.jsp,not_found,,Manual browser check or regional official URL needed; automated fetch blocked or unstable.,2026-05-31
