evidence_id,school,source_id,date,identity,firsthand,included,dimension,summary,confidence,note_id,url
H01,人朝小学,X1,2026-05-10,具备具体家庭场景的比较评论者（疑似家长）,近一手,是,作业/考试/社团/家长负担,"有家庭作业，考试卷带回，社团和非主科丰富；项目任务需家庭参与",中高,6a0006c1000000000602302f,https://www.xiaohongshu.com/search_result/?keyword=%E6%9C%9D%E5%A4%96%E5%A5%BD%E8%BF%98%E6%98%AF%E4%BA%BA%E6%9C%9D%E5%A5%BD%EF%BC%9F&source=web_search_result_notes
H02,人朝小学,X1,2026-05-10,做过学校比较并作出选择的家长评论,近一手,是,活动/儿童体验/英语,"活动更丰富、孩子体验更舒展；英语可能需课外补充",中,6a0006c1000000000602302f,https://www.xiaohongshu.com/search_result/?keyword=%E6%9C%9D%E5%A4%96%E5%A5%BD%E8%BF%98%E6%98%AF%E4%BA%BA%E6%9C%9D%E5%A5%BD%EF%BC%9F&source=web_search_result_notes
H03,人朝小学,X3,2024-12-03,2024级在读家长,一手,是,家校沟通/入学适应,"老师通过班级平台分享照片，孩子入学适应良好",高,674ec6b00000000002028810,https://www.xiaohongshu.com/search_result/?keyword=2024%E5%B9%B48%E6%9C%8831%E6%97%A5%EF%BC%8C%E9%80%82%E5%BA%94%E5%B0%8F%E5%AD%A6%E7%94%9F%E6%B4%BB&source=web_search_result_notes
H04,人朝小学,X4,2024-12-03,2024级在读家长,一手,是,规模/班额/校区,"家长自行统计当届约20班，单班约36至40人以上",中,674ef39200000000060166dd,https://www.xiaohongshu.com/search_result/?keyword=2024%E4%BA%BA%E6%9C%9D%E4%B8%80%E5%B9%B4%E7%BA%A7%E6%96%B0%E7%94%9F%E6%95%B0%E9%87%8F%E7%BB%9F%E8%AE%A1&source=web_search_result_notes
H05,人朝小学,X5,2026-06-26,六年级下在读家庭,一手,是,考试/小升初/家长焦虑,"关注三次大考成绩及进入初中后的分班",高,6a3e2a51000000000f005038,https://www.xiaohongshu.com/search_result/?keyword=%E4%B8%89%E6%AC%A1%E5%A4%A7%E8%80%83%E6%88%90%E7%BB%A9%EF%BC%8C%E4%BA%BA%E5%9C%A8%E5%8C%97%E4%BA%AC%E6%9C%9D%E9%98%B3%E5%8C%BA%E4%BA%BA%E6%9C%9D%E5%B0%8F%E5%AD%A6&source=web_search_result_notes
H06,人朝小学,O2,2025-05-01,官方资料,官方,是,规模/校址,"一校六址，小学109个教学班，全校7636名学生",高,,https://www.bjchy.gov.cn/UserFiles/File/fa81ae9945c14b5da97d2a6b31a1a052.pdf
H07,人朝全学段,X6,2025-07-24,自述小初高12年在人朝的学生,一手,否,学生视角,"缺少近三年小学阶段具体细节，不参与核心结论",对小学低,6881ba62000000000b009cf8,https://www.xiaohongshu.com/search_result/?keyword=%E5%B0%8F%E5%88%9D%E9%AB%9812%E5%B9%B4%E5%B8%B8%E9%A9%BB%E4%BA%BA%E6%9C%9D&source=web_search_result_notes
W01,西师附小,S1,2024-07-11,新生家长会家长,一手,是,家校沟通/身份核验,"家长会提供密集开学与分班信息",中高,668eb8b700000000250040a2,https://www.xiaohongshu.com/search_result/?keyword=%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%AE%B6%E9%95%BF%E4%BC%9A&source=web_search_result_notes
W02,西师附小,S2,2025-10-30,多年在读与六年在读家长,一手,是,春秋游/研学/社会实践,"春秋游与研学偏少，但部分年级班级和社团有外出，执行差异明显",高,6902d41e000000000300e83e,https://www.xiaohongshu.com/search_result/?keyword=%E4%B8%BA%E4%BB%80%E4%B9%88%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E4%B8%8D%E6%8C%89%E6%95%99%E8%82%B2%E9%83%A8%E8%A6%81%E6%B1%82%E7%A7%8B%E6%B8%B8%EF%BC%9F&source=web_search_result_notes
W03,西师附小,S2,2025-10-30,评论区多位当前家庭,近一手,是,规模/组织协调,"家长认为人多班多加大活动协调难度；非校方确认因果",中,6902d41e000000000300e83e,https://www.xiaohongshu.com/search_result/?keyword=%E4%B8%BA%E4%BB%80%E4%B9%88%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E4%B8%8D%E6%8C%89%E6%95%99%E8%82%B2%E9%83%A8%E8%A6%81%E6%B1%82%E7%A7%8B%E6%B8%B8%EF%BC%9F&source=web_search_result_notes
W04,西师附小,S3,2024-09-30,长期记录学校日常的在读家长,一手,是,作业/年级差异,"一二年级无书面家庭作业；三年级起带回任务约1小时",高,66f9fc41000000001b02251a,https://www.xiaohongshu.com/search_result/?keyword=%E7%A4%BE%E5%9B%A2%E5%BE%88%E5%A5%BD%EF%BC%8C%E4%BD%86%E6%88%91%E9%80%80%E5%9B%A2%E4%BA%86%E3%80%82&source=web_search_result_notes
W05,西师附小,S3,2024-09-30,在读家长与评论区社团家庭,一手,是,社团/时间成本/体育,"社团丰富且多为免费；部分项目占用多次放学或周六半天，效果依赖练习",高,66f9fc41000000001b02251a,https://www.xiaohongshu.com/search_result/?keyword=%E7%A4%BE%E5%9B%A2%E5%BE%88%E5%A5%BD%EF%BC%8C%E4%BD%86%E6%88%91%E9%80%80%E5%9B%A2%E4%BA%86%E3%80%82&source=web_search_result_notes
W06,西师附小,S3,2024-09-30,在读家长,一手,是,家长负担/校外补充,"叠加英语、钢琴和户外后晚间2至3小时，主要是家庭自选",高,66f9fc41000000001b02251a,https://www.xiaohongshu.com/search_result/?keyword=%E7%A4%BE%E5%9B%A2%E5%BE%88%E5%A5%BD%EF%BC%8C%E4%BD%86%E6%88%91%E9%80%80%E5%9B%A2%E4%BA%86%E3%80%82&source=web_search_result_notes
W07,西师附小,S5,2024-09-20,在读家长访谈,访谈一手,是,教师/家校沟通/家长负担,"老师及时反馈学生问题，家长需知情与基本监督，但未被要求大量代批改",中高,66ed6be1000000001e01aff8,https://www.xiaohongshu.com/search_result/?keyword=%E7%89%9B%E5%B0%8F%E4%B8%8E%E6%99%AE%E5%B0%8F%E5%88%B0%E6%9C%89%E4%BD%95%E5%8C%BA%E5%88%AB%EF%BC%9F%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%AE%B6%E9%95%BF%E8%AE%BF%E8%B0%88&source=web_search_result_notes
W08,西师附小,S5,2024-09-20,在读家长访谈与另一位长期家长纠错,访谈一手,是,校本课/社团/年级差异,"校本课和社团平台完整；一年级以托管为主、二年级起社团更完整",中高,66ed6be1000000001e01aff8,https://www.xiaohongshu.com/search_result/?keyword=%E7%89%9B%E5%B0%8F%E4%B8%8E%E6%99%AE%E5%B0%8F%E5%88%B0%E6%9C%89%E4%BD%95%E5%8C%BA%E5%88%AB%EF%BC%9F%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%AE%B6%E9%95%BF%E8%AE%BF%E8%B0%88&source=web_search_result_notes
W09,西师附小,S6,2024-09-21,孩子已在读两年的家长访谈,访谈一手,是,教学/学业/家庭投入,"文化课未落下；自家不补主科、按学校要求走可到中等偏上",中,66eed02e000000000c01ad39,https://www.xiaohongshu.com/search_result/?keyword=%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%85%A5%E5%AD%A6%E5%90%8E%E6%9C%89%E8%90%BD%E5%B7%AE%E5%90%97%EF%BC%9F%E7%BC%BA%E7%82%B9%EF%BC%9F%E5%AE%B6%E9%95%BF%E8%AE%BF%E8%B0%883&source=web_search_result_notes
W10,西师附小,S6,2024-09-21,孩子已在读两年的家长访谈,访谈一手,是,规模/活动/教师,"大校体量造成操场、研学和春秋游落差，同时认可教师对普通孩子的及时关注",中高,66eed02e000000000c01ad39,https://www.xiaohongshu.com/search_result/?keyword=%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%85%A5%E5%AD%A6%E5%90%8E%E6%9C%89%E8%90%BD%E5%B7%AE%E5%90%97%EF%BC%9F%E7%BC%BA%E7%82%B9%EF%BC%9F%E5%AE%B6%E9%95%BF%E8%AE%BF%E8%B0%883&source=web_search_result_notes
W11,西师附小展览路,S7,2025-03-04,入学半年的一年级家长,一手,是,低年级作业/儿童体验/入学适应,"第一学期轻松、孩子开心上学，无书面家庭作业，校内完成后放学可运动阅读",高,67c6ab38000000000d015f6a,https://www.xiaohongshu.com/search_result/?keyword=%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%B1%95%E8%A7%88%E8%B7%AF%E5%85%A8%E5%8C%BA%E6%8B%9B%E7%94%9F%E4%BB%A5%E5%8F%8A%E5%85%A5%E5%AD%A6%E5%8D%8A%E5%B9%B4%E6%84%9F%E6%83%B3&source=web_search_result_notes
W12,西师附小展览路,S7,2025-03-04,入学半年的一年级家长,一手,是,英语/活动,"一年级每周两节英语、内容简单；有英语戏剧月，老师鼓励课外阅读",对该校区年级高,67c6ab38000000000d015f6a,https://www.xiaohongshu.com/search_result/?keyword=%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%B1%95%E8%A7%88%E8%B7%AF%E5%85%A8%E5%8C%BA%E6%8B%9B%E7%94%9F%E4%BB%A5%E5%8F%8A%E5%85%A5%E5%AD%A6%E5%8D%8A%E5%B9%B4%E6%84%9F%E6%83%B3&source=web_search_result_notes
W13,西师附小展览路,S7,2025-03-04,入学半年的一年级家长,一手,是,放学/托管/班额/硬件,"一周放学时间不同，免费托管至16:30或17:30；班额约35至40人，操场200米一圈",中高,67c6ab38000000000d015f6a,https://www.xiaohongshu.com/search_result/?keyword=%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%B1%95%E8%A7%88%E8%B7%AF%E5%85%A8%E5%8C%BA%E6%8B%9B%E7%94%9F%E4%BB%A5%E5%8F%8A%E5%85%A5%E5%AD%A6%E5%8D%8A%E5%B9%B4%E6%84%9F%E6%83%B3&source=web_search_result_notes
W14,西师附小,S5,2024-09-20,在读家长访谈,访谈一手,是,日常负担/管理,"轮换教室、物品需带回，家长认为书包偏重",中,66ed6be1000000001e01aff8,https://www.xiaohongshu.com/search_result/?keyword=%E7%89%9B%E5%B0%8F%E4%B8%8E%E6%99%AE%E5%B0%8F%E5%88%B0%E6%9C%89%E4%BD%95%E5%8C%BA%E5%88%AB%EF%BC%9F%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E5%AE%B6%E9%95%BF%E8%AE%BF%E8%B0%88&source=web_search_result_notes
W15,西师附小,S4,2026-07-10,明确自称西师家长的评论,一手评论,是,校风,"认可学校务实；单条评论，低权重",中低,6a4fc831000000000f0068bb,https://www.xiaohongshu.com/search_result/?keyword=%E5%90%AC%E8%AF%B4%E4%BD%A0%E4%BB%AC%E5%A4%A7%E5%AE%B6%E9%83%BD%E5%9C%A8%E5%90%90%E6%A7%BD%E8%A5%BF%E5%B8%88%E9%99%84%E5%B0%8F%E7%9A%84%E8%8A%82%E5%A5%8F%E6%85%A2&source=web_search_result_notes
