evidence_id,school,source_id,published_at,identity,firsthand,included,dimensions,summary,confidence,note_id,url
E01,人朝小学,X1,2026-05-10,具备具体家庭场景的比较评论者（疑似家长）,近一手,是,作业/考试/社团/家长负担,"有家庭作业，考试卷带回，社团和非主科丰富；项目任务需家庭参与",中高,6a0006c1000000000602302f,https://www.xiaohongshu.com/explore/6a0006c1000000000602302f?xsec_token=ABDNTBqHP6tlnlPV5AUWTesIq2km2qjSzs_ak7TlLyes8%3D&xsec_source=pc_search
E02,人朝小学,X1,2026-05-10,做过两校比较的家长,近一手,是,活动/儿童体验/英语,"认为活动更丰富、孩子体验更快乐；英语可能需课外补充",中,6a0006c1000000000602302f,https://www.xiaohongshu.com/explore/6a0006c1000000000602302f?xsec_token=ABDNTBqHP6tlnlPV5AUWTesIq2km2qjSzs_ak7TlLyes8%3D&xsec_source=pc_search
E03,人朝小学,X6,2024-12-03,2024级在读家长,一手,是,家校沟通/入学适应,"老师通过班级平台发照片，孩子适应良好",高,674ec6b00000000002028810,https://www.xiaohongshu.com/search_result/?keyword=2024%E5%B9%B48%E6%9C%8831%E6%97%A5%EF%BC%8C%E9%80%82%E5%BA%94%E5%B0%8F%E5%AD%A6%E7%94%9F%E6%B4%BB&source=web_search_result_notes
E04,人朝小学,X7,2024-12-03,2024级在读家长,一手,是,规模/班额/校区,"家长自行统计当届约20班，单班约36至40人以上",中,674ef39200000000060166dd,https://www.xiaohongshu.com/search_result/?keyword=2024%E4%BA%BA%E6%9C%9D%E4%B8%80%E5%B9%B4%E7%BA%A7%E6%96%B0%E7%94%9F%E6%95%B0%E9%87%8F%E7%BB%9F%E8%AE%A1&source=web_search_result_notes
E05,人朝小学,X8,2026-06-26,六年级下在读家庭,一手,是,考试/小升初/家长焦虑,"关注三次大考成绩及初中分班",高,6a3e2a51000000000f005038,https://www.xiaohongshu.com/search_result/?keyword=%E4%B8%89%E6%AC%A1%E5%A4%A7%E8%80%83%E6%88%90%E7%BB%A9%EF%BC%8C%E4%BA%BA%E5%9C%A8%E5%8C%97%E4%BA%AC%E6%9C%9D%E9%98%B3%E5%8C%BA%E4%BA%BA%E6%9C%9D%E5%B0%8F%E5%AD%A6&source=web_search_result_notes
E06,人朝小学,O2,2025-05-01,官方资料,官方,是,规模/校址,"一校六址，小学109个教学班，全校7636名学生",高,,https://www.bjchy.gov.cn/UserFiles/File/fa81ae9945c14b5da97d2a6b31a1a052.pdf
E07,朝外本部,X1,2026-05-10,具备具体家庭场景的比较评论者（疑似家长）,近一手,是,作业/考试/社团/家长负担,"家庭作业很少，多由学校内部完成；低年级社团较少",中高,6a0006c1000000000602302f,https://www.xiaohongshu.com/explore/6a0006c1000000000602302f?xsec_token=ABDNTBqHP6tlnlPV5AUWTesIq2km2qjSzs_ak7TlLyes8%3D&xsec_source=pc_search
E08,朝外本部,X1,2026-05-10,做过两校比较的家长,近一手,是,英语/管理/活动,"英语优势明显、管理严格，活动少于人朝",中,6a0006c1000000000602302f,https://www.xiaohongshu.com/explore/6a0006c1000000000602302f?xsec_token=ABDNTBqHP6tlnlPV5AUWTesIq2km2qjSzs_ak7TlLyes8%3D&xsec_source=pc_search
E09,朝外本部,X2,2025-03-30,讨论校内英语材料的家长,高度疑似一手,是,英语/教师/课外投入,"英语课较多、教师总体较好；重视英语的家庭普遍外学",中高,67e93164000000001b03f070,https://www.xiaohongshu.com/search_result/?keyword=%E6%9C%9D%E5%A4%96%E5%B0%8F%E5%AD%A6%E5%9C%A8%E8%AF%BB%E7%9A%84%E5%AE%B6%E9%95%BF%E5%BF%AB%E6%9D%A5&source=web_search_result_notes
E10,朝外本部,X2,2025-03-30,明确六年在读家长,一手,是,英语/考试/作业/同伴/沟通,"作业多在校完成；英语阅读和考试有难度；同伴关系与沟通正面",高,67e93164000000001b03f070,https://www.xiaohongshu.com/search_result/?keyword=%E6%9C%9D%E5%A4%96%E5%B0%8F%E5%AD%A6%E5%9C%A8%E8%AF%BB%E7%9A%84%E5%AE%B6%E9%95%BF%E5%BF%AB%E6%9D%A5&source=web_search_result_notes
E11,朝外本部,X2,2025-03-30,六年在读家长及同帖家长,一手与高度疑似一手,是,家校关系/教师自主性,"投诉可能使部分班级教师减少拔高或分享",中,67e93164000000001b03f070,https://www.xiaohongshu.com/search_result/?keyword=%E6%9C%9D%E5%A4%96%E5%B0%8F%E5%AD%A6%E5%9C%A8%E8%AF%BB%E7%9A%84%E5%AE%B6%E9%95%BF%E5%BF%AB%E6%9D%A5&source=web_search_result_notes
