collab_id,series_name,primary_brand,partner_names,skp_status,skp_count,attempted_urls,failure_reason,next_action,last_checked
Q12026-010,PUMA x McLaren Racing Lifestyle Collection,PUMA,McLaren Racing,series_only_unresolved,0,https://about.puma.com/en/newsroom/corporate-news/2026/20-01-2026-mclaren-racing-and-puma-unite-performance-and-style-new [200] | https://us.puma.com/us/en/search?q=mclaren [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-015,Pandora x Bridgerton Collection,Pandora,Bridgerton / Netflix,series_only_unresolved,0,https://www.marieclaire.co.uk/fashion/fashion-industry-news [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-016,BAPE x adidas World Cup Pack,A Bathing Ape (BAPE),adidas,series_only_unresolved,0,https://sneakernews.com/2025/08/11/bape-adidas-world-cup-2026/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-019,adidas x Entire Studios SS26,adidas,Entire Studios,series_only_unresolved,0,https://news.adidas.com/partnerships/adidas-and-entire-studios-introduce-a-new-expression-of-modern-sport-style--built-for-movement/s/167c4b9b-c8b5-4f0d-a373-65bcfd0b495d [202],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-023,adidas x Audi Revolut F1 Team Collection,adidas,Audi Revolut F1 Team,series_only_unresolved,0,https://www.audi-mediacenter.com/en/press-releases/global-launch-of-adidas-x-audi-revolut-f1-team-collection-17014/download [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-033,AMERICANA for SALON 26SS,SALON adam et rope,AMERICANA,series_only_unresolved,0,https://www.haveagood-holiday.com/en/articles/americana-salon-adam-et-rope-26ss-capsule-collection [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-034,NEWYORKER WOMEN x Artisan & Artist Spring 2026,NEWYORKER WOMEN,Artisan & Artist,series_only_unresolved,0,https://www.haveagood-holiday.com/en/articles/newyorker-artisan-artist-2026-spring-collaboration-pouches [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-035,Cupshe x Jessie James Decker Casa del Sol,Cupshe,Jessie James Decker; Eric Decker,series_only_unresolved,0,https://www.streetinsider.com/Press%2BReleases/Cupshe%2BLaunches%2BCasa%2Bdel%2BSol%2C%2Ba%2BTwo-Part%2BCollection%2BCo-Designed%2Bwith%2BJessie%2BJames%2BDecker%2Band%2BEric%2BDecker/26067493.html [403] | https://www.cupshe.com/search?q=Jessie%20James%20Decker [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-036,Marchesa Mini x Gymboree,Gymboree,Marchesa Mini,series_only_unresolved,0,https://www.stocktitan.net/news/PLCE/gymboree-and-marchesa-introduce-marchesa-mini-x-gymboree-a-9j4kcpqbwo0o.html [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-037,JOURNAL STANDARD x Technics SL-1200 Capsule,JOURNAL STANDARD,Technics,series_only_unresolved,0,https://selectabisso.com/en/Technics-x-Journal-Standard%3A-a-fashion-capsule-collection-paying-homage-to-the-legendary-SL-1200/ [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
