evidence_id,platform,link_or_id,publish_time,school,identity_clue,evidence_summary,reputation_tag,confidence,firsthand_parent,firsthand_student
E-RC-01,知乎回答,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,自述13级人朝小贯通学生,作业不多且常周测,作业与节奏,历史届次高/当前中低,否,是
E-RC-02,知乎回答,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,自述13级人朝小贯通学生,低年级照顾细且高年级教学水平高/个别班主任偏分数,教师张力,历史届次高,否,是
E-RC-03,知乎回答,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,自述13级人朝小贯通学生,具体列出多项节庆活动和社团,活动与参与,历史届次高/当前未知,否,是
E-RC-04,知乎回答,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,自述13级人朝小贯通学生,同届整体轻松愉快且回忆正面,同伴氛围,中高,否,是
E-RC-05,知乎回答,https://www.zhihu.com/question/306364511/answer/3120426882,2023-07-15,人朝小学,自述有小学与初中经历,小学不错且注重能力培养,培养方式,中低,否,是
E-RC-06,知乎回答,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,自述13级人朝小贯通学生,新增校区和人数增长使旧体验不可直接平移,规模与时效,高,否,是
E-XS-01,知乎评论,https://www.zhihu.com/answer/2660392464#comment-10275916184,2022-09-05,西师附小,自述2018购入/孩子2021入学/当时二年级,肯定教学严谨习惯培养和年级教研,教学与习惯,高/单家庭,是,否
E-XS-02,知乎评论,https://www.zhihu.com/answer/2660392464#comment-10275916184,2022-09-05,西师附小,同上,认为年轻教师与校长表现好且班多未导致明显师资失控,教师与管理,高/单家庭,是,否
E-XS-03,知乎评论,https://www.zhihu.com/answer/2660392464#comment-10275916184,2022-09-05,西师附小,同上,孩子快乐/同伴融洽/互帮互助/未感到欺凌氛围,同伴与校风,高/单家庭观察,是,否
E-XS-04,知乎评论,https://www.zhihu.com/answer/2660392464#comment-10275916184,2022-09-05,西师附小,同上,双减后知识扎实程度略有下降但家长仍相对满意,双减后学习,中低,是,否
E-XS-05,知乎回答,https://www.zhihu.com/question/542064648/answer/2569115321,2022-07-11,西师附小,2022届毕业生家长/文末配偶为西师校友,年级16个班/抽样两班约37至38人,学校规模,中高/作者自查,是,否
E-XS-06,知乎回答,https://www.zhihu.com/question/542064648/answer/2569115321,2022-07-11,西师附小,同上,孩子成绩靠前仍派位至七中/家长细致复盘志愿与去向,小升初焦虑,高/个人经历,是,否
E-XS-07,知乎回答,https://www.zhihu.com/question/542064648/answer/2569115321,2022-07-11,西师附小,同上,持续跟踪成绩排名同学去向和派位路径,家长信息密度,中,是,否
