candidate_id,status,a_brand,b_partner,b_type,category,evidence_release_date,source_url,evidence_summary,next_action,notes
CAND-001,promoted_to_main,Pacsun,Los Angeles Football Club (LAFC),sports club,apparel; fanwear,2026-02-20,https://www.prnewswire.com/news-releases/pacsun-and-lafc-celebrate-historic-opening-day-at-the-coliseum-with-first-2026-capsule-collection-302692515.html,"Press release states the Season Opener Drop launches February 20 and lists Pacsun, online and match-day channels.",Add official Pacsun product/archive URL if still live.,Promoted as Q1 main record in this pass.
CAND-002,promoted_to_main,Carter's,Once Upon a Farm,food brand,childrenswear; sleepwear; apparel,2026-01-20,https://ir.carters.com/news-releases/news-release-details/carters-and-once-upon-farm-launch-limited-edition-apparel,Carter's official investor release says the capsule is available now across 12 styles from $18 to $20.,Check Carter's product landing page availability and image credit.,Promoted as Q1 main record in this pass.
CAND-003,promoted_to_main,A Bathing Ape (BAPE),CLOT,streetwear brand,streetwear; footwear; apparel,2026-01-17,https://www.soleretriever.com/news/articles/bape-clot-collection-release-date-january-2026,"Sole Retriever states the BAPE x CLOT Collection releases January 17 through BAPE, Juice Store and select retailers.",Find official BAPE or Juice Store launch page for higher confidence.,Promoted as medium-confidence main record.
CAND-004,promoted_to_main,EVEREVE,Life Time,wellness / fitness organization,apparel; accessories; athleisure,2026-01-22,https://www.prnewswire.com/news-releases/sporty-styled-up-category-leaders-life-time-and-evereve-unveil-exclusive-capsule-collection-designed-for-real-life-available-january-22-302662786.html,"Press release states a 15-piece capsule launches January 22 in EVEREVE stores, select Life Time locations and online.",Find EVEREVE collection page or archive for imagery.,Promoted as Q1 main record.
CAND-005,needs_official_source,John Smedley,Wales Bonner,designer brand,knitwear; apparel,2026-02,https://fashionunited.com/news/fashion/john-smedley-launches-collaboration-with-wales-bonner/2026020270351,FashionUnited reports the five-piece capsule will be available on both brand websites and John Smedley stores from February.,Recover exact day from John Smedley or Wales Bonner product/news page before main-table promotion.,Good Q1 candidate; date is month-level only in current evidence.
CAND-006,promoted_to_main,PUMA,Madhappy,fashion / lifestyle brand,footwear; apparel; accessories,2026-03-06,https://hypebeast.com/2026/3/madhappy-puma-capsule-collaboration-release-info,Hypebeast states the second capsule releases through Madhappy on March 6 and PUMA on March 12.,Add PUMA newsroom or Madhappy collection page if available.,Promoted as medium-confidence main record.
CAND-007,promoted_to_main,AGLXY / Ageless Galaxy,Comeback Kid,music artist / band,streetwear; apparel; accessories,2026-01-26,https://hypebeast.com/2026/1/aglxy-ageless-galaxy-comback-kid-capsule-collaboration-release-info,Hypebeast states the capsule releases January 26 at the Ageless Galaxy flagship store and online webstore.,Find Ageless Galaxy store/news page for official confirmation.,Promoted as medium-confidence main record.
CAND-008,review_a_side_rule,Formula E Official Store,Liberty Walk,automotive brand,tee; cap,2026-01-31; global online 2026-02-03,https://shop.fiaformulae.com/pages/liberty-walk,Official Formula E store page states the apparel collaboration launched at Miami E-Prix on January 31 and became globally available February 3.,Decide whether sports-org official merch store satisfies A-side apparel brand rule.,Strong evidence but A-side is not a standalone fashion/apparel brand.
CAND-009,review_scope_customization,WorldSoccerShop / adidas,American Outlaws,supporters organization,jersey customization; football apparel,2026-03-10,https://www.prnewswire.com/news-releases/worldsoccershop-launches-the-adidas-denim-jersey-with-exclusive-american-outlaws-patches-and-customization-302709671.html,PRNewswire describes exclusive American Outlaws patch customization on the adidas Denim Jersey starting March 10.,Decide whether limited customization belongs in series-level collaboration table.,Likely candidate if customization products are treated as collaboration capsules.
CAND-010,review_release_date,Dovetail Workwear,The LYCRA Company; Sapphire Finishing Mills,fiber / textile companies,workwear; apparel,Spring 2026,https://www.businesswire.com/news/home/20251112294820/en/The-LYCRA-Company-Dovetail-Workwear-and-Sapphire-Finishing-Mills-Collaborate-on-COOLSWAP-A-Breakthrough-Collection-for-Women-Who-Work,"Business Wire says the COOLSWAP capsule collection launches in Spring 2026, but current evidence lacks exact Q1 sale date.",Find Dovetail product page and first-sale date.,Hold until exact release date is recovered.
