image_id,collab_id,series_name,thumbnail_url,source_page_url,image_credit,rights_note,link_status
Q12026-001-IMG-001,Q12026-001,BALENCIAGA I NBA Collaboration,https://www.balenciaga.com/on/demandware.static/Sites-BAL-R-INTL-Site/-/default/dw1c432bb9/images/thumbnail-social.png,https://www.balenciaga.com/en-en/balenciaga-%7C-nba-collaboration,Balenciaga / NBA,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-002-IMG-001,Q12026-002,Red Wing x HUMAN MADE The Future Is in the Past,https://www.ramp.space/assets/image-cache/x-byarcessang1.e2bfb6d3.fcad5607.jpg,https://www.humanmade.jp/en/news/human-made-red-wing-2025-dec.html,Red Wing Heritage / HUMAN MADE,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-003-IMG-001,Q12026-003,Stella McCartney x Jeff Koons Limited-Edition Capsule,"https://hips.hearstapps.com/hmg-prod/images/a9aa8cdc-44b6-4209-8e2e-9602c7446c19.jpg?crop=1xw:0.888888888889xh;center,top&resize=1200:*",https://www.stellamccartney.com/us/en/women/stella-mccartney-x-jeff-koons,Stella McCartney / Jeff Koons,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-004-IMG-001,Q12026-004,SKIMS x Team USA Milano Cortina 2026 Capsule,"https://hips.hearstapps.com/hmg-prod/images/a9aa8cdc-44b6-4209-8e2e-9602c7446c19.jpg?crop=1xw:0.888888888889xh;center,top&resize=1200:*",https://skims.com/collections/skims-for-team-usa,SKIMS / Team USA,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-005-IMG-001,Q12026-005,Snow Goose by Haider Ackermann x Canada Goose Drop 2,"https://hips.hearstapps.com/hmg-prod/images/a9aa8cdc-44b6-4209-8e2e-9602c7446c19.jpg?crop=1xw:0.888888888889xh;center,top&resize=1200:*",https://www.elle.com/fashion/a69947238/best-fashion-launches-january-2026/,Canada Goose / ELLE,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-006-IMG-001,Q12026-006,Moncler + Rick Owens Spring/Summer 2026,https://imgix.bustle.com/uploads/image/2026/5/21/4f05eb78/zara-playa_0037.jpg?w=1200&h=630&fit=crop&crop=focalpoint&fm=jpg&fp-x=0.5415&fp-y=0.369,https://us.fashionnetwork.com/news/Moncler-and-rick-owens-launch-first-summer-collection%2C1798281.html,Moncler x Rick Owens / FashionNetwork,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-007-IMG-001,Q12026-007,Alpha Industries x Cecilie Bahnsen Icons in Transformation,https://www.designscene.net/wp-content/uploads/2026/01/Alpha-Industries-x-Cecilie-Behnsen-00.webp,https://www.designscene.net/2026/01/alpha-industries-x-cecilie-bahnsen-icons.html,Alpha Industries x Cecilie Bahnsen / Design Scene,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-008-IMG-001,Q12026-008,Nike x NIGO Air Force 3 Final Chapter,https://media.about.nike.com/img/2f03d126-c130-4d66-817d-d46d59006cf1/nike-x-nigo-campaign-1.jpg?m=eyJlZGl0cyI6eyJqcGVnIjp7InF1YWxpdHkiOjEwMH0sIndlYnAiOnsicXVhbGl0eSI6MTAwfSwiZXh0cmFjdCI6eyJsZWZ0IjowLCJ0b3AiOjAsIndpZHRoIjozMjAwLCJoZWlnaHQiOjIxMzJ9LCJyZXNpemUiOnsid2lkdGgiOjkwMH19fQ%3D%3D&s=2d283d2e771826ed64aed5aba2bcd159e20fdc55babf9f0d73a168943c552e46,https://about.nike.com/en-GB/newsroom/releases/nike-x-nigo-partnership-launches-with-exclusive-air-force-iii-and-apparel-collection,Nike / NIGO,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-009-IMG-001,Q12026-009,Jordan Brand x Levi's Air Jordan 3 and Apparel Collection,"https://static.nike.com/a/images/w_1920,c_limit/wzrqsjqpg6pslrevtkpl/image.png",https://www.nike.com/a/jordan-levis-release-info,Jordan Brand / Levi's,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-010-IMG-001,Q12026-010,PUMA x McLaren Racing Lifestyle Collection,https://about.puma.com/sites/default/files/media/news/images/26ss-pr-ms-mclaren-race-louder-03-16x9-1920x1080px.jpg,https://about.puma.com/en/newsroom/corporate-news/2026/20-01-2026-mclaren-racing-and-puma-unite-performance-and-style-new,PUMA / McLaren Racing,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-011-IMG-001,Q12026-011,Aqua x Wuthering Heights Collection,,https://ww.fashionnetwork.com/news/Bloomingdale-s-launches-new-retail-experience-inspired-by-wuthering-heights-%2C1798311.html,Bloomingdale's / Aqua / Warner Bros. Discovery,Internal research index only; do not republish without checking source rights/licensing.,source page only
Q12026-012-IMG-001,Q12026-012,Kith Loyalty Exclusive Collection with ASICS and New Era,https://selectabisso.com/wp-content/uploads/2026/01/IMG_9980.jpeg,https://selectabisso.com/en/Kith-Loyalty-Exclusive-Collection%3A-An-exclusive-capsule-collection-with-Asics-and-New-Era/,Kith / ASICS / New Era,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-013-IMG-001,Q12026-013,Solebox x BAPE STA Tokyo Lights,https://selectabisso.com/wp-content/uploads/2026/01/solebox-bape-bapesta-tokyo-lights-2.jpg,https://selectabisso.com/en/solebox-x-bape-sta-tokyo-lights-une-exclusivite-parisienne-entre-heritage-et-eclat-nocturne/,Solebox / BAPE,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-014-IMG-001,Q12026-014,Anti Social Social Club x NFL Super Bowl Collection,http://static1.squarespace.com/static/532313ece4b08487acaec7a2/58659f84d1758e4aacc02021/697a37fe66448473a5195087/1769617496189/624223595_18554085826055864_4957461133251326599_n.jpg?format=1500w,https://www.sneakershouts.com/fashion/2026/1/28/now-available-anti-social-social-club-x-nfl-super-bowl-collection,Anti Social Social Club / NFL,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-015-IMG-001,Q12026-015,Pandora x Bridgerton Collection,https://cdn.mos.cms.futurecdn.net/qnE3ZY75vPKbzMjMLBYT7-1200-80.png,https://www.marieclaire.co.uk/fashion/fashion-industry-news,Pandora / Bridgerton,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-016-IMG-001,Q12026-016,BAPE x adidas World Cup Pack,,https://sneakernews.com/2025/08/11/bape-adidas-world-cup-2026/,BAPE / adidas,Internal research index only; do not republish without checking source rights/licensing.,source page only
Q12026-017-IMG-001,Q12026-017,Just Don x BAPE Collection,,https://sneakernews.com/2026/02/05/just-don-bape-sta-2026/,BAPE / Just Don,Internal research index only; do not republish without checking source rights/licensing.,source page only
Q12026-018-IMG-001,Q12026-018,Fast & Furious x PUMA Basketball Collection,https://www.licensingmagazine.com/wp-content/uploads/2026/02/PUMA-Basketball-x-Fast-and-Furious.png,https://www.licensingmagazine.com/2026/02/02/puma-basketball-launches-fast-furious-sneakers/,PUMA / Universal Pictures,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-019-IMG-001,Q12026-019,adidas x Entire Studios SS26,,https://news.adidas.com/partnerships/adidas-and-entire-studios-introduce-a-new-expression-of-modern-sport-style--built-for-movement/s/167c4b9b-c8b5-4f0d-a373-65bcfd0b495d,adidas / Entire Studios,Internal research index only; do not republish without checking source rights/licensing.,source page only
Q12026-020-IMG-001,Q12026-020,sacai x Carhartt WIP Spring/Summer 2026,https://cdn.sanity.io/images/hue6jiar/shared-assets_production/8e6ada9528a5db548da6f401a9f0315df1446e11-1360x1020.jpg?rect=0%2C0%2C1360%2C880&w=1200&h=630&fit=crop,https://www.carhartt-wip.com/en-gb/e/sacai-x-carhartt-wip-spring-summer-2026,sacai / Carhartt WIP,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-021-IMG-001,Q12026-021,UNIQLO : C Spring/Summer 2026,"https://www.insidehook.com/wp-content/uploads/2026/02/UniqloC-Hero.jpg?resize=1200,800",https://www.insidehook.com/style/uniqlo-c-spring-summer-2026-collection,UNIQLO,Internal research index only; do not republish without checking source rights/licensing.,meta image found
Q12026-022-IMG-001,Q12026-022,UNIQLO and JW ANDERSON Spring/Summer 2026,,https://alvinology.com/2026/02/16/uniqlo-and-jw-anderson-unveil-2026-spring-summer-collection-with-modern-preppy-twist/,UNIQLO / JW ANDERSON,Internal research index only; do not republish without checking source rights/licensing.,source page only
Q12026-023-IMG-001,Q12026-023,adidas x Audi Revolut F1 Team Collection,,https://www.audi-mediacenter.com/en/press-releases/global-launch-of-adidas-x-audi-revolut-f1-team-collection-17014/download,adidas / Audi Revolut F1 Team,Internal research index only; do not republish without checking source rights/licensing.,source page only
