evidence_id,platform,source_url,published_time,school,identity_clue,evidence_summary,tag,confidence,firsthand_parent
E-RC-01,知乎,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,"自述13级小学、19级初中、22级高中","小学六节课、作业不多、常周测",作业与压力,历史届高置信,否
E-RC-02,知乎,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,"同上","低年级照顾细、高年级教学好；个别班主任偏成绩",教师,历史届高置信,否
E-RC-03,知乎,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,"同上","科技节、风筝节、运动会、数学节、端午、图书漂流、社团",活动,历史届高置信,否
E-RC-04,知乎,https://www.zhihu.com/question/306364511/answer/3120426882,2023-07-15,人朝小学,"自述有该校小学初中经历","小学不错、重能力培养",培养方式,中,否
E-RC-05,知乎,https://www.zhihu.com/question/270728297/answer/2620054587,2022-08-10/更新2025-11-01,人朝小学,"贯通学生主动提醒变化","新增校区、学生数量增加后变化可能很大",规模变化,高,否
E-CW-01,知乎,https://www.zhihu.com/question/282668661/answer/1785329610,2021-03-17,朝外本部小学,"明确自述我家娃在朝外","要求严格、作业较多，适合自主性弱孩子",规则与作业,高,是
E-CW-02,知乎,https://www.zhihu.com/question/282668661/answer/1785329610,2021-03-17,朝外本部小学,"明确家长","英语特色鲜明",英语,高,是
E-CW-03,知乎,https://www.zhihu.com/question/282668661/answer/1785329610,2021-03-17,朝外本部小学,"明确家长","九年一贯减轻小升初焦虑；初中分层",路径,中高,是
E-CW-04,知乎,https://www.zhihu.com/question/67272274/answer/3403155241,2024-02-21,朝外本部小学,"自述18级、当时六年级、232校区","一年级起有额外英文材料，后减少",英语,232校区高置信,否
E-CW-05,知乎,https://www.zhihu.com/question/67272274/answer/3403155241,2024-02-21,朝外本部小学,"同上","午休常被占、拖堂、作业增加；假期作业偏实践",日常压力,232校区高置信,否
E-CW-06,知乎,https://www.zhihu.com/question/67272274/answer/3403155241,2024-02-21,朝外本部小学,"同上","禁电子产品零食；7:40进校，正常16:30放学",纪律,232校区高置信,否
E-CW-07,知乎,https://www.zhihu.com/question/67272274/answer/3403155241,2024-02-21,朝外本部小学,"同上","对伙食质量、涨价、份量和供应强烈不满",伙食,中高,否
E-CW-08,知乎,https://www.zhihu.com/question/67272274/answer/3403155241,2024-02-21,朝外本部小学,"同上","大量吐槽后仍逐一感谢班主任和任课教师",教师,个人体验高置信,否
E-CW-09,知乎,https://www.zhihu.com/question/67272274/answer/251569410,2017-10-28,朝外本部小学,"自述从小学读到高中毕业","转入时英语跟不上，后被老师、电影歌曲和英语节带动；同伴关系好",英语与同伴,历史届高置信,否
E-CW-10,知乎评论,https://www.zhihu.com/answer/251574376#comment-3821416723,2021-06-26,朝外本部小学,"疑似经历孩子直升的家长","质疑直升透明度、校外班和未直升后的教学",路径风险,低中,部分
E-CW-11,知乎评论,https://www.zhihu.com/answer/251574376#comment-10570761694,2023-05-27,朝外本部小学,"自述当时初二学生","双减后英语材料减少",英语变化,中,否
E-OFF-01,朝阳区学校简介册,https://33291626.s21i.faiusr.com/61/ABUIABA9GAAgoqK3wAYorJPoogU.pdf,检索时现行版本,人朝小学,"机构资料","109个教学班、4440人",规模,高,否
E-OFF-02,朝阳区学校简介册,https://33291626.s21i.faiusr.com/61/ABUIABA9GAAgoqK3wAYorJPoogU.pdf,检索时现行版本,朝外本部小学,"机构资料","110个教学班、4214人、分四址",规模,高,否
