severity,issue_type,collab_id,skp_id,series_name,product_name,product_url,source_url,image_url,evidence_status,source_type,recommendation
medium,missing_product_url,Q12026-007,Q12026-007-SKP-001,Alpha Industries x Cecilie Bahnsen Icons in Transformation,MA-1 Bomber Jacket,,https://www.designscene.net/2026/01/alpha-industries-x-cecilie-bahnsen-icons.html,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-007,Q12026-007-SKP-002,Alpha Industries x Cecilie Bahnsen Icons in Transformation,N-2B Bomber Jacket,,https://www.designscene.net/2026/01/alpha-industries-x-cecilie-bahnsen-icons.html,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_image,Q12026-009,Q12026-009-SKP-001,Jordan Brand x Levi's Air Jordan 3 and Apparel Collection,the Jordan Brand x Levi’s Pinnacle Varsity Jacket,,https://www.nike.com/a/jordan-levis-release-info,,verified_product,official_or_retail,补商品详情页主图、商品卡片图或官方新闻页中紧邻商品名的图片。
medium,missing_product_url,Q12026-009,Q12026-009-SKP-001,Jordan Brand x Levi's Air Jordan 3 and Apparel Collection,the Jordan Brand x Levi’s Pinnacle Varsity Jacket,,https://www.nike.com/a/jordan-levis-release-info,,verified_product,official_or_retail,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-013,Q12026-013-SKP-001,Solebox x BAPE STA Tokyo Lights,Solebox x BAPE STA Tokyo Lights,,https://selectabisso.com/en/solebox-x-bape-sta-tokyo-lights-une-exclusivite-parisienne-entre-heritage-et-eclat-nocturne/,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-013,Q12026-013-SKP-002,Solebox x BAPE STA Tokyo Lights,Solebox x BAPE Sta “Tokyo Lights”: a Parisian exclusive blending heritage and nocturnal brilliance,,https://selectabisso.com/en/solebox-x-bape-sta-tokyo-lights-une-exclusivite-parisienne-entre-heritage-et-eclat-nocturne/,,press_listed,release_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-018,Q12026-018-SKP-001,Fast & Furious x PUMA Basketball Collection,Fast & Furious x PUMA Basketball Sneakers,,https://www.licensingmagazine.com/2026/02/02/puma-basketball-launches-fast-furious-sneakers/,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-024,Q12026-024-SKP-001,J.Crew Rollneck Remix,J.Crew Rollneck Sweater Remix,,https://www.insidehook.com/style/j-crew-rollneck-remix-2026,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-024,Q12026-024-SKP-002,J.Crew Rollneck Remix,J.Crew Just Remixed Its Most Iconic Sweater,,https://www.insidehook.com/style/j-crew-rollneck-remix-2026,,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-025,Q12026-025-SKP-001,Jimmy Choo x noir kei ninomiya Spring/Summer 2026,Jimmy Choo noir kei ninomiya Maxi Loafer,,https://www.anothermag.com/fashion-beauty/16964/jimmy-choo-noir-kei-ninomiya,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-025,Q12026-025-SKP-002,Jimmy Choo x noir kei ninomiya Spring/Summer 2026,Jimmy Choo noir kei ninomiya Bag,,https://www.anothermag.com/fashion-beauty/16964/jimmy-choo-noir-kei-ninomiya,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,duplicate_image_across_distinct_products,Q12026-025,Q12026-025-SKP-004,Jimmy Choo x noir kei ninomiya Spring/Summer 2026,Jimmy Choo Noir Kei Ninomiya Star Shoe,https://us.jimmychoo.com/en/jimmy-choo-noir-kei-ninomiya-star-shoe/black-polished-calf-leather-lace-up-shoes-with-star-embellishment-JCNKNSTARSHOEFVV0C7631.html,https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,https://imgix.bustle.com/uploads/image/2026/2/13/bf87dafc/jimmy-choo-noir-kei.jpg?w=420&h=420&fit=crop&crop=faces,press_listed,fashion_media,同一联名不同商品共用图片，需确认是套装/lineup 还是误用系列图；优先补单品图。
medium,duplicate_image_across_distinct_products,Q12026-025,Q12026-025-SKP-005,Jimmy Choo x noir kei ninomiya Spring/Summer 2026,Jimmy Choo Noir Kei Ninomiya Maxi Loafer,https://us.jimmychoo.com/en/jimmy-choo-noir-kei-ninomiya-star-shoe/black-polished-calf-leather-lace-up-shoes-with-star-embellishment-JCNKNSTARSHOEFVV0C7631.html,https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,https://imgix.bustle.com/uploads/image/2026/2/13/bf87dafc/jimmy-choo-noir-kei.jpg?w=420&h=420&fit=crop&crop=faces,press_listed,fashion_media,同一联名不同商品共用图片，需确认是套装/lineup 还是误用系列图；优先补单品图。
medium,missing_product_url,Q12026-025,Q12026-025-SKP-006,Jimmy Choo x noir kei ninomiya Spring/Summer 2026,Jimmy Choo Noir Kei Ninomiya Star Shoe,,https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,duplicate_image_across_distinct_products,Q12026-026,Q12026-026-SKP-003,Harlem's Fashion Row x Gap,Gap X HFR Denim Oversized Vest by Nicole Benefield Portfolio,https://www.gap.com/browse/product.do?pid=894738002&vid=1&pcid=3043963&cid=3053280,https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,https://imgix.bustle.com/uploads/image/2026/2/13/2f9cde32/screen-shot-2026-02.png?w=420&h=561&fit=crop&crop=faces,press_listed,fashion_media,同一联名不同商品共用图片，需确认是套装/lineup 还是误用系列图；优先补单品图。
medium,duplicate_image_across_distinct_products,Q12026-026,Q12026-026-SKP-004,Harlem's Fashion Row x Gap,Gap X HFR Embroidered Baggy Jeans by Daveed Baptiste,https://www.gap.com/browse/product.do?pid=894738002&vid=1&pcid=3043963&cid=3053280,https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,https://imgix.bustle.com/uploads/image/2026/2/13/2f9cde32/screen-shot-2026-02.png?w=420&h=561&fit=crop&crop=faces,press_listed,fashion_media,同一联名不同商品共用图片，需确认是套装/lineup 还是误用系列图；优先补单品图。
medium,missing_product_url,Q12026-026,Q12026-026-SKP-005,Harlem's Fashion Row x Gap,Gap X HFR Embroidered Baggy Jeans by Daveed Baptiste,,https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-026,Q12026-026-SKP-006,Harlem's Fashion Row x Gap,Gap X HFR Stitched Denim Bomber Jacket by LaTouché,,https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-026,Q12026-026-SKP-007,Harlem's Fashion Row x Gap,Gap X HFR Denim Oversized Vest by Nicole Benefield Portfolio,,https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-028,Q12026-028-SKP-001,Frame x Amelia Gray Collaboration Restock and Expansion,Bad Girl High-Rise Barrel-Leg Jeans,,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-029,Q12026-029-SKP-001,Ray-Ban by A$AP Rocky Metal Eyewear Collection,RB3929 Sunglasses,,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,https://vader-prod.s3.amazonaws.com/product-images/072a825c-0fc6-485a-912d-23dc6d207337/c68acf55-b7be-4d78-bd56-40c279349c42.jpg,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-029,Q12026-029-SKP-002,Ray-Ban by A$AP Rocky Metal Eyewear Collection,RB3928 Sunglasses,,https://www.elle.com/fashion/a70201790/best-fashion-launches-february-2026/,https://vader-prod.s3.amazonaws.com/product-images/3fa0f4b0-50be-4c27-8d4d-e7712c11dfaa/cc8b8ac9-bcb0-49c5-b59f-cb21066e2a24.jpg,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_image,Q12026-030,Q12026-030-SKP-001,La Ligne x Steve McQueen Estate Capsule,La Ligne x Steve McQueen Polo,https://lalignenyc.com/products/la-ligne-x-steve-mcqueen-polo-chocolate,https://lalignenyc.com/search?q=Steve%20McQueen%20Estate,,verified_product,official_or_retail,补商品详情页主图、商品卡片图或官方新闻页中紧邻商品名的图片。
medium,missing_product_image,Q12026-030,Q12026-030-SKP-002,La Ligne x Steve McQueen Estate Capsule,La Ligne x Steve McQueen Ribbed Sweater,https://lalignenyc.com/products/la-ligne-x-steve-mcqueen-ribbed-sweater-navy,https://lalignenyc.com/search?q=Steve%20McQueen%20Estate,,verified_product,official_or_retail,补商品详情页主图、商品卡片图或官方新闻页中紧邻商品名的图片。
medium,missing_product_url,Q12026-031,Q12026-031-SKP-001,On x Sky High Farm Goods SS26,On x Sky High Farm Goods Wildflower Trainer,,https://www.t3.com/active/running/on-and-sky-high-farm-goods-are-back-with-a-wildflower-inspired-trainer-drop-for-ss26,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-031,Q12026-031-SKP-002,On x Sky High Farm Goods SS26,On and Sky High Farm Goods are back with a wildflower-inspired trainer drop for SS26,,https://www.t3.com/active/running/on-and-sky-high-farm-goods-are-back-with-a-wildflower-inspired-trainer-drop-for-ss26,,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-040,Q12026-040-SKP-001,Converse x Oshi no Ko Collection,Converse x Oshi no Ko Sneakers,,https://respawn.outlookindia.com/pop-culture/pop-culture-news/converse-collabs-with-oshi-no-ko-for-an-anime-inspired-collection,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-040,Q12026-040-SKP-002,Converse x Oshi no Ko Collection,"Aqua, Ruby, Arima Kana, and Mem-cho promoting the Oshi no Ko Converse Shoes",,https://respawn.outlookindia.com/pop-culture/pop-culture-news/converse-collabs-with-oshi-no-ko-for-an-anime-inspired-collection,,press_listed,release_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-043,Q12026-043-SKP-001,Rakeem Miles x K-Swiss Drop 3,Rakeem Miles x K-Swiss Court Tie Break Sneaker,,https://sneakernews.com/2026/02/23/rakeem-miles-k-swiss-court-tie-break/,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-044,Q12026-044-SKP-001,The North Face x Cecilie Bahnsen Third Collaboration,The North Face x Cecilie Bahnsen Jacket,,https://footwearmagazine.com/the-north-face-cecilie-bahnsen-third-collab/,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-044,Q12026-044-SKP-002,The North Face x Cecilie Bahnsen Third Collaboration,The North Face x Cecilie Bahnsen Bag,,https://footwearmagazine.com/the-north-face-cecilie-bahnsen-third-collab/,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-044,Q12026-044-SKP-003,The North Face x Cecilie Bahnsen Third Collaboration,Convertible Jacket,,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://vader-prod.s3.amazonaws.com/product-images/73c22c9a-e60f-4eb1-b53e-9f8f2bb65eb4/e36ff170-68d4-4309-9d2c-a67ec78f50c8.jpg,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-044,Q12026-044-SKP-004,The North Face x Cecilie Bahnsen Third Collaboration,The North Face x Cecilie Bahnsen Convertible Jacket,,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,,press_listed,fashion_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-046,Q12026-046-SKP-001,Thom Browne x ASICS GEL-KAYANO 14,Thom Browne x ASICS GEL-KAYANO 14,,https://footwearmagazine.com/asics-thom-browne-super-bowl-gel-kayano-14/,,press_listed,seeded_source_extract,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
medium,missing_product_url,Q12026-046,Q12026-046-SKP-002,Thom Browne x ASICS GEL-KAYANO 14,Thom Browne’s First Sneaker Collaboration,,https://footwearmagazine.com/asics-thom-browne-super-bowl-gel-kayano-14/,,press_listed,release_media,补官方商品详情页或授权零售商品页；如果只能媒体列名，应保留为空并降级为 press_listed。
